NUTS_ID,year,window,gdd,heat,frost,precip
DE258,1993,Mar-Jul,1262.216,11.612,23.06,283.025
DE258,1994,Apr-Aug,1676.021,99.946,8.976,335.376
DE258,1994,Mar-Jul,1326.02,77.064,13.718,319.911
DE258,1995,Apr-Aug,1533.541,42.334,2.831,347.495
DE258,1995,Mar-Jul,1143.884,32.953,23.102,347.404
DE258,1996,Apr-Aug,1380.379,13.14,12.702,358.587
DE258,1996,Mar-Jul,1024.744,12.583,37.702,302.543
DE258,1997,Apr-Aug,1454.989,14.487,15.629,261.486
DE258,1997,Mar-Jul,1059.95,6.809,24.363,286.418
DE258,1998,Apr-Aug,1556.845,65.699,2.69,218.334
DE258,1998,Mar-Jul,1205.871,27.698,15.791,223.095
DE258,1999,Apr-Aug,1578.991,20.977,2.613,325.958
DE258,1999,Mar-Jul,1232.921,19.149,11.347,317.364
DE258,2000,Apr-Aug,1620.718,33.198,5.588,245.151
DE258,2000,Mar-Jul,1237.433,21.785,13.568,283.583
DE258,2001,Apr-Aug,1577.245,45.993,5.678,233.983
DE258,2001,Mar-Jul,1188.055,19.826,15.783,323.992
DE258,2002,Apr-Aug,1603.407,31.228,9.456,351.861
DE258,2002,Mar-Jul,1228.044,28.898,25.025,380.232
DE258,2003,Apr-Aug,1917.017,145.924,9.944,175.764
DE258,2003,Mar-Jul,1437.712,57.667,26.513,175.436
DE258,2004,Apr-Aug,1492.896,32.019,5.621,288.686
DE258,2004,Mar-Jul,1118.153,13.032,24.887,252.228
DE258,2005,Apr-Aug,1531.006,53.553,12.278,354.48
DE258,2005,Mar-Jul,1250.651,53.459,30.278,280.05
DE258,2006,Apr-Aug,1586.433,71.611,5,379.123
DE258,2006,Mar-Jul,1309.208,71.606,27.157,331.905
DE258,2007,Apr-Aug,1668.324,30.614,6.859,485.67
DE258,2007,Mar-Jul,1334.494,28.053,21.033,436.047
DE258,2008,Apr-Aug,1612.394,49.842,4.351,264.004
DE258,2008,Mar-Jul,1255.197,45.391,20.274,280.454
DE258,2009,Apr-Aug,1645.651,22.461,1.835,326.351
DE258,2009,Mar-Jul,1217.786,5.867,13.29,370.515
DE258,2010,Apr-Aug,1507.418,67.298,7.809,412.874
DE258,2010,Mar-Jul,1210.251,63.822,24.918,297.398
DE258,2011,Apr-Aug,1597.261,31.217,5.96,356.8
DE258,2011,Mar-Jul,1227.162,8.894,26.859,303.069
DE258,2012,Apr-Aug,1650.944,70.796,12.339,207.136
DE258,2012,Mar-Jul,1267.338,39.973,26.367,175.519
DE258,2013,Apr-Aug,1554.404,83.255,6.274,340.317
DE258,2013,Mar-Jul,1166.606,58.618,30.206,290.055
DE258,2014,Apr-Aug,1564.088,39.264,4.109,346.821
DE258,2014,Mar-Jul,1289.144,37.406,22.444,261.525
DE258,2015,Apr-Aug,1728.327,166.518,11.403,188.64
DE258,2015,Mar-Jul,1263.237,80.659,29.58,193.077
DE258,2016,Apr-Aug,1578.037,39.848,7.318,289.532
DE258,2016,Mar-Jul,1192.148,21.602,21.29,290.14
DE258,2017,Apr-Aug,1640.736,55.497,8.072,369.773
DE258,2017,Mar-Jul,1293.462,42.116,20.257,352.903
DE258,2018,Apr-Aug,1965.222,114.411,1,193.516
DE258,2018,Mar-Jul,1497.947,50.82,20,232.113
DE258,2019,Apr-Aug,1690.377,104.031,8.843,272.466
DE258,2019,Mar-Jul,1316.849,88.429,17.5,237.388
DE258,2020,Apr-Aug,1638.892,65.416,12.125,280.127
DE258,2020,Mar-Jul,1225.868,17.021,28.629,199.038
DE258,2021,Apr-Aug,1441.465,22.342,16.75,425.44
DE258,2021,Mar-Jul,1124.478,17.106,33.661,351.709
DE258,2022,Apr-Aug,1816.311,115.383,11.472,248.593
DE258,2022,Mar-Jul,1370.747,80.458,34.113,178.595
DE258,2023,Apr-Aug,1683.938,80.862,8.734,301.507
DE258,2023,Mar-Jul,1327.673,50.079,19.569,252.987
DE258,2024,Apr-Aug,1797.755,78.461,3.855,301.333
DE258,2024,Mar-Jul,1396.858,33.164,10.077,281.791
DE259,1950,Apr-Aug,1523.53,27.219,6.112,379.356
DE259,1950,Mar-Jul,1177.206,21.59,20.556,309.663
DE259,1951,Apr-Aug,1351.534,13.644,11.23,340.163
DE259,1951,Mar-Jul,994.242,5.701,31.839,333.221
DE259,1952,Apr-Aug,1576.729,69.909,5.156,215.806
DE259,1952,Mar-Jul,1178.803,41.53,20.672,309.074
DE259,1953,Apr-Aug,1444.369,9.968,4.311,356.513
DE259,1953,Mar-Jul,1146.307,6.932,26.538,328.94
DE259,1954,Apr-Aug,1179.753,6.95,10.226,522.923
DE259,1954,Mar-Jul,877.032,4.913,26.507,460.748
DE259,1955,Apr-Aug,1211.496,1.929,12.955,418.304
DE259,1955,Mar-Jul,913.527,1.929,36.559,353.244
DE259,1956,Apr-Aug,1145.973,0.616,13.632,405.53
DE259,1956,Mar-Jul,882.626,0.481,33.735,353.617
DE259,1957,Apr-Aug,1300.969,50.166,12.824,317.425
DE259,1957,Mar-Jul,1074.701,50.13,23.699,308.023
DE259,1958,Apr-Aug,1317.263,9.468,13.609,434.049
DE259,1958,Mar-Jul,968.249,6.152,40.671,365.401
DE259,1959,Apr-Aug,1486.184,22.486,4.441,331.637
DE259,1959,Mar-Jul,1191.634,21.348,16.784,278.622
DE259,1960,Apr-Aug,1340.016,8.681,7.686,333.793
DE259,1960,Mar-Jul,1040.679,2.74,22.437,249.599
DE259,1961,Apr-Aug,1269.949,11.313,0,428.983
DE259,1961,Mar-Jul,987.346,8.954,10.205,380.906
DE259,1962,Apr-Aug,1224.238,20.727,5.432,297.997
DE259,1962,Mar-Jul,864.153,7.679,32.53,328.933
DE259,1963,Apr-Aug,1376.969,18.64,3.805,362.546
DE259,1963,Mar-Jul,1053.732,7.993,19.392,353.023
DE259,1964,Apr-Aug,1453.554,55.78,2.129,221.183
DE259,1964,Mar-Jul,1141.041,38.747,21.529,221.741
DE259,1965,Apr-Aug,1131.963,8.476,7.611,485.504
DE259,1965,Mar-Jul,859.745,5.564,25.864,537.572
DE259,1966,Apr-Aug,1295.226,9.074,4.049,518.981
DE259,1966,Mar-Jul,995.26,2.244,24.831,519.459
DE259,1967,Apr-Aug,1296.04,24.609,11.981,313.871
DE259,1967,Mar-Jul,987.66,19.78,22.514,299.817
DE259,1968,Apr-Aug,1264.649,3.849,12.72,412.914
DE259,1968,Mar-Jul,986.924,3.849,30.214,323.416
DE259,1969,Apr-Aug,1339.551,31.438,10.387,375.142
DE259,1969,Mar-Jul,1022.068,29.506,33.142,309.122
DE259,1970,Apr-Aug,1239.698,7.995,13.213,422.166
DE259,1970,Mar-Jul,913.194,5.838,33.942,414.564
DE259,1971,Apr-Aug,1381.658,41.556,7.662,370.379
DE259,1971,Mar-Jul,1011.413,21.293,30.662,309.51
DE259,1972,Apr-Aug,1195.132,24.005,5.414,367.759
DE259,1972,Mar-Jul,913.851,17.529,23.98,335.828
DE259,1973,Apr-Aug,1298.221,10.573,17.902,375.916
DE259,1973,Mar-Jul,942.773,4.774,39.231,378.601
DE259,1974,Apr-Aug,1172.79,13.639,11.302,378.913
DE259,1974,Mar-Jul,882.82,0.044,24.236,342.732
DE259,1975,Apr-Aug,1318.779,5.442,8.265,372.8
DE259,1975,Mar-Jul,949.055,1.998,26.78,337.922
DE259,1976,Apr-Aug,1423.061,48.543,14.257,216.728
DE259,1976,Mar-Jul,1125.602,48.443,38.516,215.647
DE259,1977,Apr-Aug,1237.562,4.79,15.644,349.353
DE259,1977,Mar-Jul,970.348,4.701,24.848,306.123
DE259,1978,Apr-Aug,1103.386,1.292,16.892,445.736
DE259,1978,Mar-Jul,843.63,1.002,33.638,402.265
DE259,1979,Apr-Aug,1256.165,9.122,13.763,275.502
DE259,1979,Mar-Jul,960.062,7.691,25.688,354.158
DE259,1980,Apr-Aug,1134.737,10.282,11.388,485.12
DE259,1980,Mar-Jul,794.499,4.813,25.983,502.04
DE259,1981,Apr-Aug,1304.093,4.492,9.781,449.505
DE259,1981,Mar-Jul,1054.237,3.777,20.737,443.228
DE259,1982,Apr-Aug,1370.871,27.786,18.914,354.312
DE259,1982,Mar-Jul,1031.603,25.742,38.451,290.765
DE259,1983,Apr-Aug,1532.377,61.047,2,354.652
DE259,1983,Mar-Jul,1161.438,54.311,19.342,338.948
DE259,1984,Apr-Aug,1124.783,15.499,13.72,448.805
DE259,1984,Mar-Jul,791.131,15.028,39.72,396.227
DE259,1985,Apr-Aug,1288.324,12.379,9.667,413.629
DE259,1985,Mar-Jul,960.23,4.996,31.694,366.261
DE259,1986,Apr-Aug,1407.043,13.188,8.632,400.238
DE259,1986,Mar-Jul,1058.426,7.331,22.436,385.993
DE259,1987,Apr-Aug,1197.532,5.307,5.32,519.033
DE259,1987,Mar-Jul,891.044,5.182,30.409,551.102
DE259,1988,Apr-Aug,1408.481,13.054,10.555,278.868
DE259,1988,Mar-Jul,1052.673,9.454,28.684,432.021
DE259,1989,Apr-Aug,1368.19,14.548,3.649,310.736
DE259,1989,Mar-Jul,1068.373,3.257,13.191,299.045
DE259,1990,Apr-Aug,1375.72,25.317,4.404,303.494
DE259,1990,Mar-Jul,1025.94,4.793,16.982,284.344
DE259,1991,Apr-Aug,1292.743,22.07,13.472,306.322
DE259,1991,Mar-Jul,951.8,12.762,22.689,298.21
DE259,1992,Apr-Aug,1551.233,41.216,10.964,353.213
DE259,1992,Mar-Jul,1124.355,10.739,25.799,360.919
DE259,1993,Apr-Aug,1482.435,11.503,2.12,365.283
DE259,1993,Mar-Jul,1156.501,6.686,24.201,335.815
DE259,1994,Apr-Aug,1616.492,91.589,10.458,362.333
DE259,1994,Mar-Jul,1269.483,67.905,17.165,357.811
DE259,1995,Apr-Aug,1491.479,37.733,2.48,422.591
DE259,1995,Mar-Jul,1108.16,30.635,22,428.451
DE259,1996,Apr-Aug,1355.311,10.614,9.617,375.227
DE259,1996,Mar-Jul,1007.482,10.247,34.866,320.646
DE259,1997,Apr-Aug,1416.911,10.863,14.946,334.178
DE259,1997,Mar-Jul,1024.072,6.615,21.541,367.252
DE259,1998,Apr-Aug,1494.952,52.416,3.014,294.646
DE259,1998,Mar-Jul,1156.172,23.452,15.605,300.77
DE259,1999,Apr-Aug,1508.737,14.109,0.698,353.227
DE259,1999,Mar-Jul,1172.691,13.602,9.329,364.682
DE259,2000,Apr-Aug,1563.761,26.01,4.809,299.141
DE259,2000,Mar-Jul,1189.761,18.502,12.813,381.118
DE259,2001,Apr-Aug,1521.985,33.99,5.911,315.224
DE259,2001,Mar-Jul,1140.248,13.381,16.693,432.203
DE259,2002,Apr-Aug,1580.998,25.95,5.463,385.271
DE259,2002,Mar-Jul,1212.209,25.035,19.881,382.411
DE259,2003,Apr-Aug,1868.486,126.847,8.986,230.342
DE259,2003,Mar-Jul,1395.807,45.332,24.094,230.186
DE259,2004,Apr-Aug,1471.155,21.681,4.267,362.799
DE259,2004,Mar-Jul,1097.131,8.206,23.823,316.38
DE259,2005,Apr-Aug,1455.763,36.842,8.925,406.029
DE259,2005,Mar-Jul,1185.566,36.792,27.289,325.838
DE259,2006,Apr-Aug,1520.622,53.841,4.844,441.381
DE259,2006,Mar-Jul,1253.313,53.796,27.728,410.561
DE259,2007,Apr-Aug,1575.321,21.981,5,451.398
DE259,2007,Mar-Jul,1258.661,21.218,17.857,431.982
DE259,2008,Apr-Aug,1525.916,37.385,4.781,269.816
DE259,2008,Mar-Jul,1179.142,33.759,20.88,312.334
DE259,2009,Apr-Aug,1587.891,11.406,0.596,380.733
DE259,2009,Mar-Jul,1169.931,2.113,13.152,431.571
DE259,2010,Apr-Aug,1442.113,52.519,7.911,473.31
DE259,2010,Mar-Jul,1155.329,50.696,22.761,332.317
DE259,2011,Apr-Aug,1530.515,22.217,4.227,417.169
DE259,2011,Mar-Jul,1173.191,5.243,22.689,352.279
DE259,2012,Apr-Aug,1573.708,53.58,11.729,279.347
DE259,2012,Mar-Jul,1203.348,29.145,23.33,241.539
DE259,2013,Apr-Aug,1494.65,72.871,7.302,422.033
DE259,2013,Mar-Jul,1115.293,52.265,33.75,368.095
DE259,2014,Apr-Aug,1487.045,32.311,3.961,369.678
DE259,2014,Mar-Jul,1230.115,30.975,18.037,273.348
DE259,2015,Apr-Aug,1662.289,142.647,10.591,236.796
DE259,2015,Mar-Jul,1199.437,63.281,28.285,244.644
DE259,2016,Apr-Aug,1513.197,31.771,6.267,340.876
DE259,2016,Mar-Jul,1139.255,18.009,22.507,343.696
DE259,2017,Apr-Aug,1579.896,40.903,7.391,397.144
DE259,2017,Mar-Jul,1234.44,29.477,15.875,383.679
DE259,2018,Apr-Aug,1920.773,102.957,1.089,169.26
DE259,2018,Mar-Jul,1456.95,43.906,21.289,197.185
DE259,2019,Apr-Aug,1648.436,85.975,8.28,283.055
DE259,2019,Mar-Jul,1276.952,74.681,14.707,278.495
DE259,2020,Apr-Aug,1572.347,51.214,9.253,323.136
DE259,2020,Mar-Jul,1170.252,8.872,24.898,261.003
DE259,2021,Apr-Aug,1362.482,16.501,16.578,442.991
DE259,2021,Mar-Jul,1061.672,13.726,33.627,356.983
DE259,2022,Apr-Aug,1732.975,91.218,10.525,230.591
DE259,2022,Mar-Jul,1304.758,63.736,30.917,190.485
DE259,2023,Apr-Aug,1602.067,65.518,8.009,380.502
DE259,2023,Mar-Jul,1248.353,39.264,20.711,321.861
DE259,2024,Apr-Aug,1732.735,57.631,4.013,410.664
DE259,2024,Mar-Jul,1335.114,23.297,9.129,378.161
DE25A,1950,Apr-Aug,1565.423,37.477,5.891,347.82
DE25A,1950,Mar-Jul,1215.914,29.934,19.541,275.641
DE25A,1951,Apr-Aug,1393.032,20.054,11.158,325.464
DE25A,1951,Mar-Jul,1022.305,8.352,32.158,290.935
DE25A,1952,Apr-Aug,1634.365,77.311,5.925,177.482
DE25A,1952,Mar-Jul,1230.737,48.008,20.885,256.555
DE25A,1953,Apr-Aug,1498.302,16.812,4.436,309.214
DE25A,1953,Mar-Jul,1183.614,8.677,28.827,276.951
DE25A,1954,Apr-Aug,1231.257,11.878,9.47,409.51
DE25A,1954,Mar-Jul,925.941,7.216,27.501,327.161
DE25A,1955,Apr-Aug,1286.504,3.683,12.606,352.223
DE25A,1955,Mar-Jul,971.01,3.683,35.743,305.473
DE25A,1956,Apr-Aug,1203.002,0.146,11.615,369.752
DE25A,1956,Mar-Jul,935.487,0.139,30.11,316.836
DE25A,1957,Apr-Aug,1352.117,47.137,10.706,253.205
DE25A,1957,Mar-Jul,1118.124,47.131,20.559,223.496
DE25A,1958,Apr-Aug,1380.311,7.401,12.018,318.799
DE25A,1958,Mar-Jul,1011.311,3.299,38.171,275.681
DE25A,1959,Apr-Aug,1553.528,28.057,5.243,258.352
DE25A,1959,Mar-Jul,1240.015,25.576,19.177,226.205
DE25A,1960,Apr-Aug,1396.353,7.243,5.896,275.713
DE25A,1960,Mar-Jul,1091.462,3.248,17.031,217.953
DE25A,1961,Apr-Aug,1328.181,10.551,0,416.463
DE25A,1961,Mar-Jul,1030.62,9.332,12.463,369.352
DE25A,1962,Apr-Aug,1253.289,18.999,6.014,216.584
DE25A,1962,Mar-Jul,895.751,6.45,32.641,237.613
DE25A,1963,Apr-Aug,1405.039,22.894,3.85,333.296
DE25A,1963,Mar-Jul,1074.332,9.369,20.926,307.159
DE25A,1964,Apr-Aug,1562.225,73.936,2.235,195.33
DE25A,1964,Mar-Jul,1225.287,52.45,21.019,199.969
DE25A,1965,Apr-Aug,1217.559,7.709,5.637,454.219
DE25A,1965,Mar-Jul,933.468,6.8,19.991,500.174
DE25A,1966,Apr-Aug,1385.438,11.283,1.365,432.865
DE25A,1966,Mar-Jul,1064.947,2.83,20.695,404.914
DE25A,1967,Apr-Aug,1399.407,34.378,8.482,240.589
DE25A,1967,Mar-Jul,1063.879,27.822,14.99,219.772
DE25A,1968,Apr-Aug,1350.542,4.747,11.219,407.075
DE25A,1968,Mar-Jul,1062.633,4.747,23.266,297.714
DE25A,1969,Apr-Aug,1414.454,33.959,9.511,341.935
DE25A,1969,Mar-Jul,1073.234,29.813,27.949,293.075
DE25A,1970,Apr-Aug,1357.205,12.434,10.469,310.817
DE25A,1970,Mar-Jul,1005.439,7.035,29.825,310.994
DE25A,1971,Apr-Aug,1516.83,46.608,7.893,336.852
DE25A,1971,Mar-Jul,1115.341,22.614,27.327,291.386
DE25A,1972,Apr-Aug,1286.376,24.145,2.371,348.13
DE25A,1972,Mar-Jul,995.549,17.46,13.833,304.526
DE25A,1973,Apr-Aug,1423.12,18.836,14.247,321.99
DE25A,1973,Mar-Jul,1039.557,8.509,33.888,322.662
DE25A,1974,Apr-Aug,1287.848,15.923,9.603,326.876
DE25A,1974,Mar-Jul,984.068,0,21.502,301.639
DE25A,1975,Apr-Aug,1464.052,18.807,3.778,295.196
DE25A,1975,Mar-Jul,1054.893,5.502,19.173,254.736
DE25A,1976,Apr-Aug,1576.386,72.069,11.444,173.277
DE25A,1976,Mar-Jul,1237.749,71.622,32.724,160.349
DE25A,1977,Apr-Aug,1332.714,8.061,10.725,294.419
DE25A,1977,Mar-Jul,1059.49,7.925,18.271,233.521
DE25A,1978,Apr-Aug,1226.612,5.735,14.694,362.583
DE25A,1978,Mar-Jul,957.782,5.565,23.065,335.889
DE25A,1979,Apr-Aug,1334.558,16.325,8.882,255.564
DE25A,1979,Mar-Jul,1034.36,14.215,18.841,292.036
DE25A,1980,Apr-Aug,1219.955,11.123,9.483,356.345
DE25A,1980,Mar-Jul,860.589,4.27,21.822,345.51
DE25A,1981,Apr-Aug,1400.009,8.107,9.102,320.353
DE25A,1981,Mar-Jul,1136.568,4.563,17.261,298.767
DE25A,1982,Apr-Aug,1485.334,29.886,11.687,268.684
DE25A,1982,Mar-Jul,1124.491,27.827,26.028,253.006
DE25A,1983,Apr-Aug,1616.272,74.186,0.914,327.499
DE25A,1983,Mar-Jul,1225.032,64.682,14.376,322.99
DE25A,1984,Apr-Aug,1213.424,20.514,10.978,360.004
DE25A,1984,Mar-Jul,856.689,19.11,36.859,332.31
DE25A,1985,Apr-Aug,1368.708,17.582,7.961,341.632
DE25A,1985,Mar-Jul,1027.703,9.292,28.362,314.286
DE25A,1986,Apr-Aug,1473.659,17.701,8.019,364.111
DE25A,1986,Mar-Jul,1112.786,10.124,19.991,338.229
DE25A,1987,Apr-Aug,1292.408,5.815,2.451,391.198
DE25A,1987,Mar-Jul,971.02,4.21,24.599,385.685
DE25A,1988,Apr-Aug,1498.763,19.168,8.019,229.644
DE25A,1988,Mar-Jul,1122.097,8.925,23.511,370.207
DE25A,1989,Apr-Aug,1482.404,24.829,1.808,268.562
DE25A,1989,Mar-Jul,1164.32,8.038,7.639,268.53
DE25A,1990,Apr-Aug,1482.836,36.301,3.096,227.813
DE25A,1990,Mar-Jul,1121.746,6.726,11.554,218.397
DE25A,1991,Apr-Aug,1405.667,33.117,11.573,208.537
DE25A,1991,Mar-Jul,1028.986,16.634,19.426,223.497
DE25A,1992,Apr-Aug,1637.113,50.972,7.477,305.537
DE25A,1992,Mar-Jul,1199.107,12.717,17.61,336.334
DE25A,1993,Apr-Aug,1544.01,13.331,1.663,267.766
DE25A,1993,Mar-Jul,1214.489,7.623,22.637,239.446
DE25A,1994,Apr-Aug,1612.473,90.051,6.908,343.705
DE25A,1994,Mar-Jul,1278.265,70.36,11.8,315.738
DE25A,1995,Apr-Aug,1493.097,41.385,2.967,321.812
DE25A,1995,Mar-Jul,1111.375,33.014,22.736,326.664
DE25A,1996,Apr-Aug,1350.761,10.762,11.156,366.006
DE25A,1996,Mar-Jul,997.518,10.211,35.074,318.814
DE25A,1997,Apr-Aug,1432.705,14.928,15.31,273.456
DE25A,1997,Mar-Jul,1039.724,5.011,21.632,299.636
DE25A,1998,Apr-Aug,1512.7,60.167,4.074,222.864
DE25A,1998,Mar-Jul,1177.728,23.471,17.28,230.741
DE25A,1999,Apr-Aug,1535.426,20.116,1.035,315.79
DE25A,1999,Mar-Jul,1196.609,17.605,9.332,312.302
DE25A,2000,Apr-Aug,1574.76,29.707,4.97,254.666
DE25A,2000,Mar-Jul,1203.578,20.009,12.087,285.314
DE25A,2001,Apr-Aug,1555.156,50.841,5.029,238.428
DE25A,2001,Mar-Jul,1171.489,23.567,15.959,339.115
DE25A,2002,Apr-Aug,1558.574,29.913,6.94,351.59
DE25A,2002,Mar-Jul,1190.84,25.939,21.473,370.59
DE25A,2003,Apr-Aug,1892.799,150.747,9.912,172.532
DE25A,2003,Mar-Jul,1416.034,58.882,23.345,177.913
DE25A,2004,Apr-Aug,1455.237,33.695,4.683,298.488
DE25A,2004,Mar-Jul,1083.8,14.233,23.585,253.904
DE25A,2005,Apr-Aug,1492.286,54.207,11.015,331.257
DE25A,2005,Mar-Jul,1215.163,52.835,28.111,282.29
DE25A,2006,Apr-Aug,1555.52,74.634,4.746,367.428
DE25A,2006,Mar-Jul,1281.742,74.634,26.78,326.386
DE25A,2007,Apr-Aug,1616.11,27.725,6.875,453.232
DE25A,2007,Mar-Jul,1286.815,24.896,21.272,424.986
DE25A,2008,Apr-Aug,1584.554,49.559,6.099,246.045
DE25A,2008,Mar-Jul,1232.002,44.097,21.728,274.463
DE25A,2009,Apr-Aug,1624.716,27.073,0.961,342.43
DE25A,2009,Mar-Jul,1204.904,8.774,12.924,372.681
DE25A,2010,Apr-Aug,1479.2,68.256,9.531,418.159
DE25A,2010,Mar-Jul,1184.295,64.119,25.456,292.742
DE25A,2011,Apr-Aug,1582.426,32.174,5.619,317.364
DE25A,2011,Mar-Jul,1218.57,10.638,25.82,270.144
DE25A,2012,Apr-Aug,1618.109,66.279,12.223,242.972
DE25A,2012,Mar-Jul,1244.351,36.102,26.425,216.375
DE25A,2013,Apr-Aug,1527.143,78.129,7.65,363.876
DE25A,2013,Mar-Jul,1143.239,55.498,31.6,320.031
DE25A,2014,Apr-Aug,1539.455,41.588,4.42,333.224
DE25A,2014,Mar-Jul,1265.225,39.786,23.684,239.91
DE25A,2015,Apr-Aug,1711.783,169.865,12.311,159.2
DE25A,2015,Mar-Jul,1248.706,83.5,29.585,159.874
DE25A,2016,Apr-Aug,1549.776,43.029,7.493,271.876
DE25A,2016,Mar-Jul,1167.661,21.629,22.389,285.571
DE25A,2017,Apr-Aug,1609.938,50.312,8.842,377.438
DE25A,2017,Mar-Jul,1270.159,39.996,20.026,355.37
DE25A,2018,Apr-Aug,1930.959,121.225,1.002,172.991
DE25A,2018,Mar-Jul,1470.391,55.154,19.855,211.157
DE25A,2019,Apr-Aug,1657.708,104.052,7.123,263.967
DE25A,2019,Mar-Jul,1286.075,82.938,15.402,255.909
DE25A,2020,Apr-Aug,1621.706,65.607,11.897,236.541
DE25A,2020,Mar-Jul,1205.354,14.39,29.125,182.557
DE25A,2021,Apr-Aug,1426.061,23.324,17.031,453.89
DE25A,2021,Mar-Jul,1109.865,17.971,32.44,393.604
DE25A,2022,Apr-Aug,1801.117,117.599,10.693,191.827
DE25A,2022,Mar-Jul,1349.895,78.002,32.247,167.758
DE25A,2023,Apr-Aug,1676.533,89.478,7.296,282.138
DE25A,2023,Mar-Jul,1322.599,57.506,17.396,254.021
DE25A,2024,Apr-Aug,1760.098,67.261,3.438,339.154
DE25A,2024,Mar-Jul,1362.716,28.485,9.06,302.342
DE25B,1950,Apr-Aug,1557.311,38.029,5.966,356.551
DE25B,1950,Mar-Jul,1206.281,30.302,19.491,286.492
DE25B,1951,Apr-Aug,1359.76,19.147,13.087,362.992
DE25B,1951,Mar-Jul,1000.144,8.471,32.729,360.486
DE25B,1952,Apr-Aug,1606.954,84.458,6.079,212.667
DE25B,1952,Mar-Jul,1203.461,49.042,22.788,286.21
DE25B,1953,Apr-Aug,1443.035,16.089,5.903,346.828
DE25B,1953,Mar-Jul,1132.698,11.393,32.121,319.287
DE25B,1954,Apr-Aug,1195.631,8.687,10.687,445.33
DE25B,1954,Mar-Jul,889.269,4.742,28.075,382.471
DE25B,1955,Apr-Aug,1246.03,3.444,13.436,383.379
DE25B,1955,Mar-Jul,943.466,3.444,37.52,306.023
DE25B,1956,Apr-Aug,1182.746,1.167,13.023,365.197
DE25B,1956,Mar-Jul,912.597,0.91,34.497,340.782
DE25B,1957,Apr-Aug,1305.146,47.424,14.9,330.134
DE25B,1957,Mar-Jul,1078.956,47.355,24.906,294.405
DE25B,1958,Apr-Aug,1364.044,13.467,13.8,373.423
DE25B,1958,Mar-Jul,1007.897,8.251,41.158,321.243
DE25B,1959,Apr-Aug,1511.499,24.334,6.894,314.106
DE25B,1959,Mar-Jul,1208.214,22.674,22.909,272.253
DE25B,1960,Apr-Aug,1384.081,10.216,9.186,292.291
DE25B,1960,Mar-Jul,1074.543,3.443,22.986,218.077
DE25B,1961,Apr-Aug,1326.769,15.25,0,381.665
DE25B,1961,Mar-Jul,1027.713,11.469,12.885,338.68
DE25B,1962,Apr-Aug,1263.524,25.95,8.086,259.827
DE25B,1962,Mar-Jul,897.04,11.467,35.657,266.52
DE25B,1963,Apr-Aug,1404.68,21.747,4.589,351.644
DE25B,1963,Mar-Jul,1075.837,10.066,21.053,339.986
DE25B,1964,Apr-Aug,1518.544,61.607,2,195.082
DE25B,1964,Mar-Jul,1191.057,42.458,21.048,220.329
DE25B,1965,Apr-Aug,1197.337,11.045,6.961,453.303
DE25B,1965,Mar-Jul,911.581,7.186,23.337,503.972
DE25B,1966,Apr-Aug,1352.643,11.14,5.318,482.836
DE25B,1966,Mar-Jul,1043.03,3.263,24.757,433.44
DE25B,1967,Apr-Aug,1362.661,29.953,11.202,293.01
DE25B,1967,Mar-Jul,1037.677,23.039,19.721,264.034
DE25B,1968,Apr-Aug,1327.421,5.532,11.797,418.735
DE25B,1968,Mar-Jul,1042.691,5.532,26.523,314.323
DE25B,1969,Apr-Aug,1403.067,33.91,10.555,346.634
DE25B,1969,Mar-Jul,1070.991,30.314,29.121,294.924
DE25B,1970,Apr-Aug,1321.167,11.232,11.239,370.868
DE25B,1970,Mar-Jul,977.971,7.452,30.929,332.902
DE25B,1971,Apr-Aug,1486.943,51.896,7.398,321.626
DE25B,1971,Mar-Jul,1088.989,25.723,29.925,285.416
DE25B,1972,Apr-Aug,1276.95,29.427,4.645,319.289
DE25B,1972,Mar-Jul,976.451,20.792,22.69,289.425
DE25B,1973,Apr-Aug,1385.007,14.96,17.169,339.877
DE25B,1973,Mar-Jul,1005.625,6.041,39.33,337.96
DE25B,1974,Apr-Aug,1256.108,16.119,10.238,354.426
DE25B,1974,Mar-Jul,954.627,0.077,22.367,315.827
DE25B,1975,Apr-Aug,1386.778,7.661,6.537,369.994
DE25B,1975,Mar-Jul,1003.846,2.547,23.548,312.372
DE25B,1976,Apr-Aug,1506.394,52.166,12.446,246.109
DE25B,1976,Mar-Jul,1189.96,51.986,35.655,218.154
DE25B,1977,Apr-Aug,1323.703,7.351,13.539,307.568
DE25B,1977,Mar-Jul,1046.359,7.132,21.748,247.164
DE25B,1978,Apr-Aug,1188.451,2.8,14.324,450.005
DE25B,1978,Mar-Jul,914.452,2.409,27.758,383.552
DE25B,1979,Apr-Aug,1330.558,13.996,11.447,266.907
DE25B,1979,Mar-Jul,1025.521,11.598,22.21,318.573
DE25B,1980,Apr-Aug,1202.19,11.704,8.773,405.725
DE25B,1980,Mar-Jul,845.718,5.221,22.057,418.796
DE25B,1981,Apr-Aug,1387.743,5.898,10.048,402.805
DE25B,1981,Mar-Jul,1121.585,4.793,21.134,360.817
DE25B,1982,Apr-Aug,1457.398,31.551,18.264,322.234
DE25B,1982,Mar-Jul,1101.588,29.173,36.837,267.169
DE25B,1983,Apr-Aug,1607.983,67.21,1.518,359.93
DE25B,1983,Mar-Jul,1229.683,60.727,15.578,320.889
DE25B,1984,Apr-Aug,1215.038,18.859,12.733,376.66
