Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Czechoslovakia","Yield","Barley","1989","kg/ha","4726.6"
"Crops and livestock products","Czechoslovakia","Production","Barley","1989","t","3550189"
"Crops and livestock products","Czechoslovakia","Area harvested","Barley","1990","ha","744646"
"Crops and livestock products","Czechoslovakia","Yield","Barley","1990","kg/ha","5466.6"
"Crops and livestock products","Czechoslovakia","Production","Barley","1990","t","4070680"
"Crops and livestock products","Czechoslovakia","Area harvested","Barley","1991","ha","792136"
"Crops and livestock products","Czechoslovakia","Yield","Barley","1991","kg/ha","4788"
"Crops and livestock products","Czechoslovakia","Production","Barley","1991","t","3792750"
"Crops and livestock products","Czechoslovakia","Area harvested","Barley","1992","ha","887945"
"Crops and livestock products","Czechoslovakia","Yield","Barley","1992","kg/ha","3999"
"Crops and livestock products","Czechoslovakia","Production","Barley","1992","t","3550903"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1961","ha","641004"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1961","kg/ha","2599.7"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1961","t","1666390"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1962","ha","669592"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1962","kg/ha","2454.9"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1962","t","1643800"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1963","ha","716741"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1963","kg/ha","2463.4"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1963","t","1765620"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1964","ha","824537"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1964","kg/ha","2218.1"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1964","t","1828890"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1965","ha","822713"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1965","kg/ha","2421.1"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1965","t","1991870"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1966","ha","888540"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1966","kg/ha","2529.3"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1966","t","2247400"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1967","ha","927297"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1967","kg/ha","2713"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1967","t","2515790"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1968","ha","997524"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1968","kg/ha","3161"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1968","t","3153160"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1969","ha","1051072"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1969","kg/ha","3098.4"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1969","t","3256650"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1970","ha","1077512"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1970","kg/ha","2945.6"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1970","t","3173936"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1971","ha","1099756"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1971","kg/ha","3526.3"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1971","t","3878116"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1972","ha","1192462"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1972","kg/ha","3368.5"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1972","t","4016814"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1973","ha","1230071"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1973","kg/ha","3776.9"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1973","t","4645797"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1974","ha","1266604"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1974","kg/ha","3994.2"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1974","t","5059080"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1975","ha","1176024"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1975","kg/ha","3573.5"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1975","t","4202464"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1976","ha","1275988"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1976","kg/ha","3767.2"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1976","t","4806956"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1977","ha","1280803"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1977","kg/ha","4070.6"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1977","t","5213632"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1978","ha","1270062"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1978","kg/ha","4409.7"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1978","t","5600588"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1979","ha","1091551"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1979","kg/ha","3422.8"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1979","t","3736134"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1980","ha","1188671"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1980","kg/ha","4531.1"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1980","t","5386000"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1981","ha","1083429"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1981","kg/ha","3991.8"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1981","t","4324783"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1982","ha","1068210"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1982","kg/ha","4312.2"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1982","t","4606334"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1983","ha","1189538"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1983","kg/ha","4892.6"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1983","t","5819981"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1984","ha","1201346"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1984","kg/ha","5136.2"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1984","t","6170309"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1985","ha","1209059"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1985","kg/ha","4981.6"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1985","t","6023006"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1986","ha","1204825"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1986","kg/ha","4403.1"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1986","t","5305006"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1987","ha","1211845"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1987","kg/ha","5078.4"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1987","t","6154228"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1988","ha","1239357"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1988","kg/ha","5282.6"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1988","t","6547075"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1989","ha","1238640"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1989","kg/ha","5131.5"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1989","t","6356066"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1990","ha","1237161"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1990","kg/ha","5421.2"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1990","t","6706872"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1991","ha","1204325"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1991","kg/ha","5152.6"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1991","t","6205388"
"Crops and livestock products","Czechoslovakia","Area harvested","Wheat","1992","ha","1111979"
"Crops and livestock products","Czechoslovakia","Yield","Wheat","1992","kg/ha","4595.7"
"Crops and livestock products","Czechoslovakia","Production","Wheat","1992","t","5110300"
"Crops and livestock products","Denmark","Area harvested","Barley","1961","ha","799439"
"Crops and livestock products","Denmark","Yield","Barley","1961","kg/ha","3512.6"
"Crops and livestock products","Denmark","Production","Barley","1961","t","2808149"
"Crops and livestock products","Denmark","Area harvested","Barley","1962","ha","829612"
"Crops and livestock products","Denmark","Yield","Barley","1962","kg/ha","3977.2"
"Crops and livestock products","Denmark","Production","Barley","1962","t","3299515"
"Crops and livestock products","Denmark","Area harvested","Barley","1963","ha","938255"
"Crops and livestock products","Denmark","Yield","Barley","1963","kg/ha","3622.5"
"Crops and livestock products","Denmark","Production","Barley","1963","t","3398857"
"Crops and livestock products","Denmark","Area harvested","Barley","1964","ha","949992"
"Crops and livestock products","Denmark","Yield","Barley","1964","kg/ha","4104.9"
"Crops and livestock products","Denmark","Production","Barley","1964","t","3899590"
"Crops and livestock products","Denmark","Area harvested","Barley","1965","ha","1041475"
"Crops and livestock products","Denmark","Yield","Barley","1965","kg/ha","3961.5"
"Crops and livestock products","Denmark","Production","Barley","1965","t","4125804"
"Crops and livestock products","Denmark","Area harvested","Barley","1966","ha","1111604"
"Crops and livestock products","Denmark","Yield","Barley","1966","kg/ha","3741"
"Crops and livestock products","Denmark","Production","Barley","1966","t","4158559"
"Crops and livestock products","Denmark","Area harvested","Barley","1967","ha","1169881"
"Crops and livestock products","Denmark","Yield","Barley","1967","kg/ha","3746"
"Crops and livestock products","Denmark","Production","Barley","1967","t","4382339"
"Crops and livestock products","Denmark","Area harvested","Barley","1968","ha","1253888"
"Crops and livestock products","Denmark","Yield","Barley","1968","kg/ha","4025.1"
"Crops and livestock products","Denmark","Production","Barley","1968","t","5047017"
"Crops and livestock products","Denmark","Area harvested","Barley","1969","ha","1304809"
"Crops and livestock products","Denmark","Yield","Barley","1969","kg/ha","4027.6"
"Crops and livestock products","Denmark","Production","Barley","1969","t","5255194"
"Crops and livestock products","Denmark","Area harvested","Barley","1970","ha","1351545"
"Crops and livestock products","Denmark","Yield","Barley","1970","kg/ha","3561.2"
"Crops and livestock products","Denmark","Production","Barley","1970","t","4813107"
"Crops and livestock products","Denmark","Area harvested","Barley","1971","ha","1369730"
"Crops and livestock products","Denmark","Yield","Barley","1971","kg/ha","3984.6"
"Crops and livestock products","Denmark","Production","Barley","1971","t","5457801"
"Crops and livestock products","Denmark","Area harvested","Barley","1972","ha","1405857"
"Crops and livestock products","Denmark","Yield","Barley","1972","kg/ha","3962.8"
"Crops and livestock products","Denmark","Production","Barley","1972","t","5571195"
"Crops and livestock products","Denmark","Area harvested","Barley","1973","ha","1444929"
"Crops and livestock products","Denmark","Yield","Barley","1973","kg/ha","3759.3"
"Crops and livestock products","Denmark","Production","Barley","1973","t","5431928"
"Crops and livestock products","Denmark","Area harvested","Barley","1974","ha","1436851"
"Crops and livestock products","Denmark","Yield","Barley","1974","kg/ha","4153"
"Crops and livestock products","Denmark","Production","Barley","1974","t","5967212"
"Crops and livestock products","Denmark","Area harvested","Barley","1975","ha","1442715"
"Crops and livestock products","Denmark","Yield","Barley","1975","kg/ha","3573.9"
"Crops and livestock products","Denmark","Production","Barley","1975","t","5156086"
"Crops and livestock products","Denmark","Area harvested","Barley","1976","ha","1478585"
"Crops and livestock products","Denmark","Yield","Barley","1976","kg/ha","3247"
"Crops and livestock products","Denmark","Production","Barley","1976","t","4801007"
"Crops and livestock products","Denmark","Area harvested","Barley","1977","ha","1527723"
"Crops and livestock products","Denmark","Yield","Barley","1977","kg/ha","4020.7"
"Crops and livestock products","Denmark","Production","Barley","1977","t","6142458"
"Crops and livestock products","Denmark","Area harvested","Barley","1978","ha","1570147"
"Crops and livestock products","Denmark","Yield","Barley","1978","kg/ha","4012.9"
"Crops and livestock products","Denmark","Production","Barley","1978","t","6300842"
"Crops and livestock products","Denmark","Area harvested","Barley","1979","ha","1621870"
"Crops and livestock products","Denmark","Yield","Barley","1979","kg/ha","4107.4"
"Crops and livestock products","Denmark","Production","Barley","1979","t","6661614"
"Crops and livestock products","Denmark","Area harvested","Barley","1980","ha","1576615"
"Crops and livestock products","Denmark","Yield","Barley","1980","kg/ha","3833.6"
"Crops and livestock products","Denmark","Production","Barley","1980","t","6044126"
"Crops and livestock products","Denmark","Area harvested","Barley","1981","ha","1541142"
"Crops and livestock products","Denmark","Yield","Barley","1981","kg/ha","3921.6"
"Crops and livestock products","Denmark","Production","Barley","1981","t","6043748"
"Crops and livestock products","Denmark","Area harvested","Barley","1982","ha","1484737"
"Crops and livestock products","Denmark","Yield","Barley","1982","kg/ha","4281.6"
"Crops and livestock products","Denmark","Production","Barley","1982","t","6357063"
"Crops and livestock products","Denmark","Area harvested","Barley","1983","ha","1347386"
"Crops and livestock products","Denmark","Yield","Barley","1983","kg/ha","3282.9"
"Crops and livestock products","Denmark","Production","Barley","1983","t","4423400"
"Crops and livestock products","Denmark","Area harvested","Barley","1984","ha","1180720"
"Crops and livestock products","Denmark","Yield","Barley","1984","kg/ha","5142.4"
"Crops and livestock products","Denmark","Production","Barley","1984","t","6071697"
"Crops and livestock products","Denmark","Area harvested","Barley","1985","ha","1093722"
"Crops and livestock products","Denmark","Yield","Barley","1985","kg/ha","4801"
"Crops and livestock products","Denmark","Production","Barley","1985","t","5250946"
"Crops and livestock products","Denmark","Area harvested","Barley","1986","ha","1078103"
"Crops and livestock products","Denmark","Yield","Barley","1986","kg/ha","4762.3"
"Crops and livestock products","Denmark","Production","Barley","1986","t","5134266"
"Crops and livestock products","Denmark","Area harvested","Barley","1987","ha","943112"
"Crops and livestock products","Denmark","Yield","Barley","1987","kg/ha","4550.8"
"Crops and livestock products","Denmark","Production","Barley","1987","t","4291901"
"Crops and livestock products","Denmark","Area harvested","Barley","1988","ha","1154288"
"Crops and livestock products","Denmark","Yield","Barley","1988","kg/ha","4694.4"
"Crops and livestock products","Denmark","Production","Barley","1988","t","5418649"
"Crops and livestock products","Denmark","Area harvested","Barley","1989","ha","987586"
"Crops and livestock products","Denmark","Yield","Barley","1989","kg/ha","5021.5"
"Crops and livestock products","Denmark","Production","Barley","1989","t","4959197"
"Crops and livestock products","Denmark","Area harvested","Barley","1990","ha","901115"
"Crops and livestock products","Denmark","Yield","Barley","1990","kg/ha","5534.7"
"Crops and livestock products","Denmark","Production","Barley","1990","t","4987406"
"Crops and livestock products","Denmark","Area harvested","Barley","1991","ha","938577"
"Crops and livestock products","Denmark","Yield","Barley","1991","kg/ha","5371.1"
"Crops and livestock products","Denmark","Production","Barley","1991","t","5041193"
"Crops and livestock products","Denmark","Area harvested","Barley","1992","ha","910392"
"Crops and livestock products","Denmark","Yield","Barley","1992","kg/ha","3266.4"
"Crops and livestock products","Denmark","Production","Barley","1992","t","2973674"
"Crops and livestock products","Denmark","Area harvested","Barley","1993","ha","713000"
"Crops and livestock products","Denmark","Yield","Barley","1993","kg/ha","4726.5"
"Crops and livestock products","Denmark","Production","Barley","1993","t","3370000"
"Crops and livestock products","Denmark","Area harvested","Barley","1994","ha","704443"
"Crops and livestock products","Denmark","Yield","Barley","1994","kg/ha","4891.9"
"Crops and livestock products","Denmark","Production","Barley","1994","t","3446065"
"Crops and livestock products","Denmark","Area harvested","Barley","1995","ha","719500"
"Crops and livestock products","Denmark","Yield","Barley","1995","kg/ha","5418.2"
"Crops and livestock products","Denmark","Production","Barley","1995","t","3898400"
"Crops and livestock products","Denmark","Area harvested","Barley","1996","ha","738000"
"Crops and livestock products","Denmark","Yield","Barley","1996","kg/ha","5356.4"
"Crops and livestock products","Denmark","Production","Barley","1996","t","3953000"
"Crops and livestock products","Denmark","Area harvested","Barley","1997","ha","720000"
"Crops and livestock products","Denmark","Yield","Barley","1997","kg/ha","5398.6"
"Crops and livestock products","Denmark","Production","Barley","1997","t","3887000"
"Crops and livestock products","Denmark","Area harvested","Barley","1998","ha","686000"
"Crops and livestock products","Denmark","Yield","Barley","1998","kg/ha","5197.2"
"Crops and livestock products","Denmark","Production","Barley","1998","t","3565308"
"Crops and livestock products","Denmark","Area harvested","Barley","1999","ha","728000"
"Crops and livestock products","Denmark","Yield","Barley","1999","kg/ha","5047.6"
"Crops and livestock products","Denmark","Production","Barley","1999","t","3674621"
"Crops and livestock products","Denmark","Area harvested","Barley","2000","ha","741048"
"Crops and livestock products","Denmark","Yield","Barley","2000","kg/ha","5370.5"
"Crops and livestock products","Denmark","Production","Barley","2000","t","3979794"
"Crops and livestock products","Denmark","Area harvested","Barley","2001","ha","743833"
"Crops and livestock products","Denmark","Yield","Barley","2001","kg/ha","5332.1"
"Crops and livestock products","Denmark","Production","Barley","2001","t","3966181"
"Crops and livestock products","Denmark","Area harvested","Barley","2002","ha","824508"
"Crops and livestock products","Denmark","Yield","Barley","2002","kg/ha","4998"
"Crops and livestock products","Denmark","Production","Barley","2002","t","4120861"
"Crops and livestock products","Denmark","Area harvested","Barley","2003","ha","709874"
"Crops and livestock products","Denmark","Yield","Barley","2003","kg/ha","5318.7"
"Crops and livestock products","Denmark","Production","Barley","2003","t","3775593"
"Crops and livestock products","Denmark","Area harvested","Barley","2004","ha","697100"
"Crops and livestock products","Denmark","Yield","Barley","2004","kg/ha","5148.6"
"Crops and livestock products","Denmark","Production","Barley","2004","t","3589100"
"Crops and livestock products","Denmark","Area harvested","Barley","2005","ha","705100"
"Crops and livestock products","Denmark","Yield","Barley","2005","kg/ha","5385.3"
"Crops and livestock products","Denmark","Production","Barley","2005","t","3797200"
"Crops and livestock products","Denmark","Area harvested","Barley","2006","ha","679100"
"Crops and livestock products","Denmark","Yield","Barley","2006","kg/ha","4815.6"
"Crops and livestock products","Denmark","Production","Barley","2006","t","3270300"
"Crops and livestock products","Denmark","Area harvested","Barley","2007","ha","631500"
"Crops and livestock products","Denmark","Yield","Barley","2007","kg/ha","4915.6"
"Crops and livestock products","Denmark","Production","Barley","2007","t","3104200"
"Crops and livestock products","Denmark","Area harvested","Barley","2008","ha","717300"
"Crops and livestock products","Denmark","Yield","Barley","2008","kg/ha","4734.4"
"Crops and livestock products","Denmark","Production","Barley","2008","t","3396000"
"Crops and livestock products","Denmark","Area harvested","Barley","2009","ha","593000"
"Crops and livestock products","Denmark","Yield","Barley","2009","kg/ha","5723.1"
"Crops and livestock products","Denmark","Production","Barley","2009","t","3393800"
"Crops and livestock products","Denmark","Area harvested","Barley","2010","ha","575200"
"Crops and livestock products","Denmark","Yield","Barley","2010","kg/ha","5183.1"
"Crops and livestock products","Denmark","Production","Barley","2010","t","2981300"
"Crops and livestock products","Denmark","Area harvested","Barley","2011","ha","602800"
"Crops and livestock products","Denmark","Yield","Barley","2011","kg/ha","5391.2"
"Crops and livestock products","Denmark","Production","Barley","2011","t","3249800"
"Crops and livestock products","Denmark","Area harvested","Barley","2012","ha","723400"
"Crops and livestock products","Denmark","Yield","Barley","2012","kg/ha","5610.6"
"Crops and livestock products","Denmark","Production","Barley","2012","t","4058700"
"Crops and livestock products","Denmark","Area harvested","Barley","2013","ha","689300"
"Crops and livestock products","Denmark","Yield","Barley","2013","kg/ha","5730.3"
"Crops and livestock products","Denmark","Production","Barley","2013","t","3949900"
"Crops and livestock products","Denmark","Area harvested","Barley","2014","ha","604400"
"Crops and livestock products","Denmark","Yield","Barley","2014","kg/ha","5869.6"
"Crops and livestock products","Denmark","Production","Barley","2014","t","3547600"
"Crops and livestock products","Denmark","Area harvested","Barley","2015","ha","631300"
"Crops and livestock products","Denmark","Yield","Barley","2015","kg/ha","6108"
"Crops and livestock products","Denmark","Production","Barley","2015","t","3856000"
"Crops and livestock products","Denmark","Area harvested","Barley","2016","ha","706900"
"Crops and livestock products","Denmark","Yield","Barley","2016","kg/ha","5587.2"
"Crops and livestock products","Denmark","Production","Barley","2016","t","3949600"
"Crops and livestock products","Denmark","Area harvested","Barley","2017","ha","665400"
"Crops and livestock products","Denmark","Yield","Barley","2017","kg/ha","5999.8"
"Crops and livestock products","Denmark","Production","Barley","2017","t","3992300"
"Crops and livestock products","Denmark","Area harvested","Barley","2018","ha","795300"
"Crops and livestock products","Denmark","Yield","Barley","2018","kg/ha","4331.9"
"Crops and livestock products","Denmark","Production","Barley","2018","t","3445170"
"Crops and livestock products","Denmark","Area harvested","Barley","2019","ha","583200"
"Crops and livestock products","Denmark","Yield","Barley","2019","kg/ha","6215"
"Crops and livestock products","Denmark","Production","Barley","2019","t","3624560"
"Crops and livestock products","Denmark","Area harvested","Barley","2020","ha","653200"
"Crops and livestock products","Denmark","Yield","Barley","2020","kg/ha","6363.3"
"Crops and livestock products","Denmark","Production","Barley","2020","t","4156500"
"Crops and livestock products","Denmark","Area harvested","Barley","2021","ha","621600"
"Crops and livestock products","Denmark","Yield","Barley","2021","kg/ha","5569.8"
"Crops and livestock products","Denmark","Production","Barley","2021","t","3462170"
"Crops and livestock products","Denmark","Area harvested","Barley","2022","ha","614500"
"Crops and livestock products","Denmark","Yield","Barley","2022","kg/ha","6708.9"
"Crops and livestock products","Denmark","Production","Barley","2022","t","4122600"
"Crops and livestock products","Denmark","Area harvested","Barley","2023","ha","561000"
"Crops and livestock products","Denmark","Yield","Barley","2023","kg/ha","4530.5"
"Crops and livestock products","Denmark","Production","Barley","2023","t","2541600"
"Crops and livestock products","Denmark","Area harvested","Barley","2024","ha","571400"
"Crops and livestock products","Denmark","Yield","Barley","2024","kg/ha","5497.3"
"Crops and livestock products","Denmark","Production","Barley","2024","t","3141150"
"Crops and livestock products","Denmark","Area harvested","Wheat","1961","ha","105341"
"Crops and livestock products","Denmark","Yield","Wheat","1961","kg/ha","4120.5"
"Crops and livestock products","Denmark","Production","Wheat","1961","t","434057"
"Crops and livestock products","Denmark","Area harvested","Wheat","1962","ha","153953"
"Crops and livestock products","Denmark","Yield","Wheat","1962","kg/ha","4183"
"Crops and livestock products","Denmark","Production","Wheat","1962","t","643992"
"Crops and livestock products","Denmark","Area harvested","Wheat","1963","ha","134630"
"Crops and livestock products","Denmark","Yield","Wheat","1963","kg/ha","3669.8"
"Crops and livestock products","Denmark","Production","Wheat","1963","t","494060"
"Crops and livestock products","Denmark","Area harvested","Wheat","1964","ha","128133"
"Crops and livestock products","Denmark","Yield","Wheat","1964","kg/ha","4225.7"
"Crops and livestock products","Denmark","Production","Wheat","1964","t","541454"
"Crops and livestock products","Denmark","Area harvested","Wheat","1965","ha","126482"
"Crops and livestock products","Denmark","Yield","Wheat","1965","kg/ha","4457.3"
"Crops and livestock products","Denmark","Production","Wheat","1965","t","563769"
"Crops and livestock products","Denmark","Area harvested","Wheat","1966","ha","93674"
"Crops and livestock products","Denmark","Yield","Wheat","1966","kg/ha","4275.2"
"Crops and livestock products","Denmark","Production","Wheat","1966","t","400474"
"Crops and livestock products","Denmark","Area harvested","Wheat","1967","ha","90342"
"Crops and livestock products","Denmark","Yield","Wheat","1967","kg/ha","4652.5"
"Crops and livestock products","Denmark","Production","Wheat","1967","t","420312"
"Crops and livestock products","Denmark","Area harvested","Wheat","1968","ha","96568"
"Crops and livestock products","Denmark","Yield","Wheat","1968","kg/ha","4813.7"
"Crops and livestock products","Denmark","Production","Wheat","1968","t","464851"
"Crops and livestock products","Denmark","Area harvested","Wheat","1969","ha","98236"
"Crops and livestock products","Denmark","Yield","Wheat","1969","kg/ha","4361.5"
"Crops and livestock products","Denmark","Production","Wheat","1969","t","428455"
"Crops and livestock products","Denmark","Area harvested","Wheat","1970","ha","114245"
"Crops and livestock products","Denmark","Yield","Wheat","1970","kg/ha","4485.9"
"Crops and livestock products","Denmark","Production","Wheat","1970","t","512491"
"Crops and livestock products","Denmark","Area harvested","Wheat","1971","ha","120567"
"Crops and livestock products","Denmark","Yield","Wheat","1971","kg/ha","4853.8"
"Crops and livestock products","Denmark","Production","Wheat","1971","t","585206"
"Crops and livestock products","Denmark","Area harvested","Wheat","1972","ha","134781"
"Crops and livestock products","Denmark","Yield","Wheat","1972","kg/ha","4393.9"
"Crops and livestock products","Denmark","Production","Wheat","1972","t","592215"
"Crops and livestock products","Denmark","Area harvested","Wheat","1973","ha","122877"
"Crops and livestock products","Denmark","Yield","Wheat","1973","kg/ha","4412.9"
"Crops and livestock products","Denmark","Production","Wheat","1973","t","542247"
"Crops and livestock products","Denmark","Area harvested","Wheat","1974","ha","110571"
"Crops and livestock products","Denmark","Yield","Wheat","1974","kg/ha","5350.2"
"Crops and livestock products","Denmark","Production","Wheat","1974","t","591572"
"Crops and livestock products","Denmark","Area harvested","Wheat","1975","ha","101806"
"Crops and livestock products","Denmark","Yield","Wheat","1975","kg/ha","5101.7"
"Crops and livestock products","Denmark","Production","Wheat","1975","t","519381"
"Crops and livestock products","Denmark","Area harvested","Wheat","1976","ha","126516"
"Crops and livestock products","Denmark","Yield","Wheat","1976","kg/ha","4683.7"
"Crops and livestock products","Denmark","Production","Wheat","1976","t","592557"
"Crops and livestock products","Denmark","Area harvested","Wheat","1977","ha","116008"
"Crops and livestock products","Denmark","Yield","Wheat","1977","kg/ha","5220.7"
"Crops and livestock products","Denmark","Production","Wheat","1977","t","605645"
"Crops and livestock products","Denmark","Area harvested","Wheat","1978","ha","121891"
"Crops and livestock products","Denmark","Yield","Wheat","1978","kg/ha","5270.5"
"Crops and livestock products","Denmark","Production","Wheat","1978","t","642428"
"Crops and livestock products","Denmark","Area harvested","Wheat","1979","ha","114284"
"Crops and livestock products","Denmark","Yield","Wheat","1979","kg/ha","5161.6"
"Crops and livestock products","Denmark","Production","Wheat","1979","t","589886"
"Crops and livestock products","Denmark","Area harvested","Wheat","1980","ha","139271"
"Crops and livestock products","Denmark","Yield","Wheat","1980","kg/ha","4684.2"
"Crops and livestock products","Denmark","Production","Wheat","1980","t","652372"
"Crops and livestock products","Denmark","Area harvested","Wheat","1981","ha","150192"
"Crops and livestock products","Denmark","Yield","Wheat","1981","kg/ha","5558"
"Crops and livestock products","Denmark","Production","Wheat","1981","t","834765"
"Crops and livestock products","Denmark","Area harvested","Wheat","1982","ha","180874"
"Crops and livestock products","Denmark","Yield","Wheat","1982","kg/ha","6673"
"Crops and livestock products","Denmark","Production","Wheat","1982","t","1206971"
"Crops and livestock products","Denmark","Area harvested","Wheat","1983","ha","241834"
"Crops and livestock products","Denmark","Yield","Wheat","1983","kg/ha","6400.4"
"Crops and livestock products","Denmark","Production","Wheat","1983","t","1547845"
"Crops and livestock products","Denmark","Area harvested","Wheat","1984","ha","334000"
"Crops and livestock products","Denmark","Yield","Wheat","1984","kg/ha","7323"
"Crops and livestock products","Denmark","Production","Wheat","1984","t","2445877"
"Crops and livestock products","Denmark","Area harvested","Wheat","1985","ha","338537"
"Crops and livestock products","Denmark","Yield","Wheat","1985","kg/ha","5825.6"
"Crops and livestock products","Denmark","Production","Wheat","1985","t","1972165"
"Crops and livestock products","Denmark","Area harvested","Wheat","1986","ha","352965"
"Crops and livestock products","Denmark","Yield","Wheat","1986","kg/ha","6168.4"
"Crops and livestock products","Denmark","Production","Wheat","1986","t","2177228"
"Crops and livestock products","Denmark","Area harvested","Wheat","1987","ha","397525"
"Crops and livestock products","Denmark","Yield","Wheat","1987","kg/ha","5747.4"
"Crops and livestock products","Denmark","Production","Wheat","1987","t","2284719"
"Crops and livestock products","Denmark","Area harvested","Wheat","1988","ha","308118"
"Crops and livestock products","Denmark","Yield","Wheat","1988","kg/ha","6752.1"
